gene,logFC,padj,scores
Cd9,-0.40382144,0.0361389445943588,-3.857727
Dapp1,-0.37402526,0.025676850064682167,-3.9670913
Mtdh,-0.29562885,0.015358580496060516,-4.092552
Man2b1,-0.3823464,0.011544201890765698,-4.192585
Apoe,-0.7882553,0.011544201890765698,-4.1943583
Tpt1,-0.43308765,0.007387128879229492,-4.320099
Slc15a2,-1.0581312,0.006343482199875863,-4.359431
Arhgap45,-0.31617558,0.0040500716102064484,-4.4685388
Tyrobp,-0.4053437,0.0033183173114493445,-4.5171323
Trem2,-0.37456602,0.0004674649004087573,-4.947124
Rps29,-0.4273573,0.0004674649004087573,-4.950693
Sparc,-0.2674131,0.00013811490239524818,-5.192774
Mir142hg,-0.59877914,8.168979965597906e-05,-5.2965627
Gpr34,-0.35191673,3.7972888783579315e-05,-5.4418063
C1qb,-0.29338822,2.392511186752799e-05,-5.55404
Atp6v0b,-0.38529432,2.0998380817628975e-05,-5.5852766
C1qc,-0.26091346,2.0388366299308606e-05,-5.599297
Hpgd,-0.634208,4.831775317559457e-06,-5.852855
Rpl10,-0.8610562,3.228080653986385e-06,-5.938891
Fcrls,-0.56905484,9.441032959436986e-11,-7.539417
Cst3,-0.34974033,5.5730429414673135e-25,-11.081182
