"logFC","AveExpr","t","P.Value","adj.P.Val","B","Protein"
2.08786180645053,3.78479563369827,6.04907590991762,1.42137397185987e-06,4.97480890150956e-05,5.20880332681958,"Synaptophysin"
1.40675846775348,7.76735073473028,4.60064422672885,7.76693384491437e-05,0.00135921342286001,1.29721052944586,"Vimentin"
1.40427563516365,5.00659620581358,4.24448388628054,0.000206968728087935,0.00190947518864131,0.34683513915897,"Aldh1l1"
1.44152193239634,3.70074699932463,4.20895415170658,0.000228100276138821,0.00190947518864131,0.252842347453826,"CSF1R"
1.54340073250901,3.98970184242369,4.14345457190067,0.000272782169805901,0.00190947518864131,0.0800355618142481,"CD68"
1.3301510059222,8.45390500018826,3.97111900685384,0.000435720783534082,0.00254170457061548,-0.371393628752768,"MAP2"
1.25585233788094,2.03420008542772,3.83020575640926,0.000637137718184682,0.00318568859092341,-0.736509589783139,"MSR1"
1.48451157776101,3.2774838989888,3.65887064947811,0.00100699558396734,0.00440560567985712,-1.17476059252702,"CD45"
1.40682617402583,3.29098669473868,3.45165003451624,0.00173870686649748,0.00676163781415686,-1.69505362315512,"TMEM119"
2.59392116145359,5.68747053351058,3.27837878236527,0.00272501747382819,0.00953756115839865,-2.12058240910375,"GFAP"
1.17806592770188,1.91894046615649,3.12593157325589,0.00402056759099039,0.0127927150622421,-2.48677458679742,"MHC II"
1.23705423161107,2.74686374176262,2.9543901023639,0.00617819182140969,0.0180197261457782,-2.88853715682965,"Histone H3"
0.94982966655018,4.03749735308706,2.88482487208629,0.00733446113460744,0.0194260316647312,-3.04807911414844,"CD11b"
0.985495015836046,7.21724087658764,2.86126292377325,0.00777041266589248,0.0194260316647312,-3.10164861598538,"GAPDH"
1.18566542307127,2.4847087417953,2.76154780948643,0.00989998842117975,0.0230999729827528,-3.32563208931415,"CD40"
1.05503914553856,10.0498373824723,2.70034835500432,0.0114662256331099,0.025082368572428,-3.46083687466712,"S100B"
0.738599813126993,3.53247480856955,2.56299408663643,0.0158602279454505,0.0326534104759274,-3.75765257605847,"Ctsd"
0.875869436507702,3.31912792529904,2.51286088313668,0.0178202586215079,0.0346505028751542,-3.86359519353186,"CD31"
0.79014466722582,3.06327868245977,2.27112088990845,0.030782857705638,0.0567052641945963,-4.35508833423135,"IBA1"
0.660598681472443,1.58372054542726,2.16624132628242,0.0386963606363344,0.0677186311135851,-4.55767933118641,"CD39"
0.754346729984091,2.95103030734677,2.1131946639341,0.0433547914181418,0.0722579856969031,-4.65753768744256,"CD9"
0.736197363496252,2.76939440489854,1.98975149428843,0.0561713241235264,0.0881151350554396,-4.88284259219786,"Neurofilament light"
0.923499429042009,10.0916406239527,1.97501665183943,0.0579042316078603,0.0881151350554396,-4.90905715772498,"Myelin basic protein"
0.542764779755979,1.62937647981663,1.76851448916004,0.0875484466488231,0.127674818029534,-5.26047917115353,"S6"
0.586566473787486,4.80352342593281,1.72772915075829,0.0947286144011991,0.132620060161679,-5.32624243899941,"NeuN"
0.526012052780768,1.87537654308054,1.52911239050559,0.137127787934066,0.184595099142012,-5.62836751601786,"Rt IgG2a"
0.429008684343662,1.68518599231579,1.42267392532026,0.165553827254652,0.214606813107882,-5.77741052315425,"Ki-67"
0.564896972781001,2.14234155649614,1.27845946756156,0.211276826975216,0.26409603371902,-5.96435171775339,"Olig2"
0.303668185957269,1.43723231264545,1.23536273240456,0.226661045324878,0.273556434012784,-6.01677324353246,"Mertk"
0.484941533238762,2.86206365763456,1.17864552123225,0.248169091661787,0.289530606938751,-6.08329469766144,"Rb IgG"
0.259860927436111,1.33908733160306,1.07869384697802,0.289660440829405,0.327035981581586,-6.19358475413068,"GPNMB"
0.200365620700806,1.17693787699745,0.995592139738571,0.327725631725323,0.358449909699573,-6.27841359145776,"ITGAX"
0.269436388191456,1.67727123276216,0.848094986986812,0.403366583175437,0.427813042761827,-6.41325275786467,"Rt IgG2b"
0.201026492978358,1.22663466147201,0.821333838801226,0.418191708680569,0.430491464818233,-6.43552509651896,"CD163"
0.0480307713645177,1.20584838622901,0.228731422300342,0.820691259188062,0.820691259188062,-6.74934658584808,"SPP1"
