cluster,gene
Homeostatic Microglia,Gpr34
Homeostatic Microglia,Fcrls
Homeostatic Microglia,P2ry12
Transiently Activated Microglia,Gem
Transiently Activated Microglia,Olfr111
Transiently Activated Microglia,A930007I19Rik
IFN-Responsive Microglia,Ifi204
IFN-Responsive Microglia,Ccl12
IFN-Responsive Microglia,Usp18
Primed Microglia,Cst3
Primed Microglia,Hexb
Primed Microglia,Tanc2
Mitochondrial-Activated Microglia,mt-Nd2
Mitochondrial-Activated Microglia,mt-Cytb
Mitochondrial-Activated Microglia,mt-Nd1
IEG-High Microglia,Egr1
IEG-High Microglia,Gm34455
IEG-High Microglia,Nr4a1
Infiltrating Macrophages,Tlr8
Infiltrating Macrophages,Ms4a4a
Infiltrating Macrophages,Ms4a14
CNS Endothelial Cells,Myrip
CNS Endothelial Cells,Shank3
CNS Endothelial Cells,Dipk2b
CD8+ T Cells,Ncr1
CD8+ T Cells,Gm30373
CD8+ T Cells,Ifngas1
Cycling Myeloid Progenitors,Ankle1
Cycling Myeloid Progenitors,Kif18b
Cycling Myeloid Progenitors,Neil3
Vascular Smooth Muscle Cells,Slc6a20a
Vascular Smooth Muscle Cells,Ror1
Vascular Smooth Muscle Cells,Carmn
